,precision,recall,f1-score,support
S1,0.9266202113390257,0.9456621538153348,0.9360443500747705,59903.0
S2,0.9396026008642624,0.8861022242535039,0.9120685261775486,52512.0
S3,0.8502436289940063,0.8831064134718739,0.8663634965618752,22328.0
S4,0.8689509227274141,0.8393050378742335,0.853870735921469,33268.0
S5,0.854836980986474,0.924644670639245,0.8883715749610158,43129.0
S6,0.8592401459204556,0.9026499041921765,0.8804102564102565,42794.0
S7,0.9360480871086148,0.8587668941825249,0.8957437027782035,44246.0
accuracy,0.8965155275337044,0.8965155275337044,0.8965155275337044,0.8965155275337044
macro avg,0.8907917968486077,0.8914624712041274,0.89041037755502,298180.0
weighted avg,0.8980991748661645,0.8965155275337044,0.8965761385252934,298180.0
