,subject,prediction,groundtruth
0,4,8,6
1,4,8,8
2,4,8,8
3,4,8,8
4,4,4,3
5,4,4,4
6,4,4,4
7,4,9,7
8,4,9,9
9,4,5,9
10,4,5,9
11,4,5,0
12,4,5,5
13,4,3,5
14,4,3,5
15,4,3,3
16,4,4,4
17,4,4,4
18,4,4,4
19,4,4,4
20,4,4,4
21,4,7,4
22,4,9,4
23,4,5,9
24,4,5,9
25,4,3,5
26,4,4,3
27,4,4,3
28,4,4,4
29,4,4,4
30,4,5,7
31,4,5,9
32,4,3,5
33,4,3,3
34,4,4,4
35,4,4,4
36,4,4,4
37,4,4,4
38,4,4,4
39,4,2,7
40,4,6,6
41,4,3,3
42,4,4,4
43,4,4,4
44,4,7,7
45,4,7,7
46,4,5,9
47,4,5,5
48,4,5,5
49,4,3,3
50,4,3,4
51,4,4,4
52,4,4,4
53,4,9,7
54,4,5,9
55,4,5,5
56,4,3,3
57,4,3,4
58,4,4,4
59,4,4,4
60,4,2,7
61,4,9,9
62,4,5,5
63,4,3,5
64,4,3,4
65,4,4,4
66,4,4,4
67,4,4,4
68,4,2,7
69,4,2,2
70,4,0,0
71,4,6,0
72,4,6,6
73,4,3,8
74,4,3,4
75,4,4,4
76,4,4,4
77,4,7,7
78,4,9,9
79,4,5,5
80,4,5,5
81,4,5,5
82,4,3,3
83,4,4,4
84,4,4,4
85,4,7,7
86,4,9,9
87,4,9,9
88,4,2,9
89,4,5,9
90,4,5,5
91,4,3,3
92,4,3,4
93,4,4,4
94,4,4,4
95,4,7,7
96,4,5,9
97,4,5,5
98,4,3,4
99,4,4,4
100,4,4,4
101,4,4,4
102,4,4,4
103,4,4,4
104,4,9,9
105,4,2,2
106,4,0,0
107,4,6,5
108,4,8,0
109,4,8,8
110,4,3,3
111,4,4,4
112,4,4,4
113,4,7,7
114,4,5,9
115,4,5,9
116,4,5,5
117,4,3,3
118,4,4,4
119,4,4,4
120,4,7,7
121,4,9,9
122,4,5,9
123,4,3,9
124,4,7,7
125,4,3,7
126,4,3,7
127,4,3,3
128,4,4,4
129,4,4,4
130,4,7,7
131,4,5,7
132,4,9,7
133,4,5,9
134,4,9,9
135,4,2,9
136,4,9,9
137,4,5,5
138,4,5,5
139,4,3,3
140,4,3,3
141,4,4,4
142,4,4,4
143,4,4,4
144,4,2,7
145,4,2,2
146,4,2,2
147,4,6,6
148,4,6,6
149,4,8,8
150,4,3,3
151,4,4,4
152,4,4,4
153,4,7,7
154,4,5,9
155,4,5,5
156,4,3,3
157,4,4,4
158,4,4,4
159,4,7,7
160,4,5,9
161,4,5,5
162,4,3,3
163,4,3,3
164,4,4,4
165,4,4,4
166,4,7,7
167,4,5,9
168,4,5,5
169,4,3,3
170,4,4,4
171,4,4,4
172,4,2,7
